"License Plate","Make","Model","Odometer Value (Last)","GPS Device ID","GPS Device","Driver"
"3ฒค 5187 OBD","Isuzu","709",12416,"25","3ฒค 5187 OBD","HR-DRI-2026-00005"
"3ฒษ 1825","201","1617R",11705,"24","3ฒษ 1825","HR-DRI-2026-00007"
"3ฒม4446","isuzu","709",10001,"32","3ฒม4446",""
"3ฒท7216","isuzu","709",10001,"9","3ฒท7216",""
"2บต 1357","Isuze","1109",10002,"19","2บต 1357",""
"2ฒฆ8018","2ฒฆ8018","709",50001,"8","2ฒฆ8018","HR-DRI-2026-00010"
"ฒธ7260","ฒธ7260","709",100023,"7","ฒธ7260","HR-DRI-2026-00006"
"3ฒง4244","isuzu ","1109",100001,"4","3ฒง4244","HR-DRI-2026-00009"
"3069","3ฒห8794","407",11418,"6","3069",""
"3ฒผ 4657","isuzu","709",10001,"10","3ฒผ 4657","HR-DRI-2026-00003"
